title,description
Nurse,"Dilation of R Brach Art with 3 Intralum Dev, Perc Approach"
VP Product Management,"Removal of Ext Fix from L Finger Phalanx Jt, Open Approach"
Physical Therapy Assistant,"Revision of Int Fix in L Clavicle, Perc Endo Approach"
Software Consultant,"Dilate R Int Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo"
Quality Control Specialist,"Occlusion Inf Vena Cava w Extralum Dev, Perc Endo"
Compensation Analyst,"Supplement Right Nipple with Synth Sub, Via Opening"
Geologist III,"Fluoroscopy Bi Int Carotid w H Osm Contrast, Laser Intraop"
Junior Executive,Ultrasonography of Penile Arteries
Technical Writer,"Release Left Femoral Vein, Open Approach"
Senior Editor,"MRI of R Elbow using Oth Contrast, Unenh, Enhance"
Safety Technician I,"Reposition Right Tibia with Ext Fix, Open Approach"
Administrative Assistant III,"Drainage of Left Retina, Percutaneous Approach"
Sales Associate,"Division of Left Knee Bursa and Ligament, Perc Endo Approach"
Senior Editor,"Insertion of Int Fix into R Fibula, Perc Approach"
Speech Pathologist,"Division of Bladder Neck, Percutaneous Approach"
Design Engineer,Fluoroscopy of Right Vertebral Artery using Other Contrast
Computer Systems Analyst IV,"Destruction of Pancreas, Percutaneous Endoscopic Approach"
Physical Therapy Assistant,"Change Other Device in Lower Tendon, External Approach"
Dental Hygienist,"Drainage of Right Knee Region with Drain Dev, Perc Approach"
Account Representative IV,"Drainage of Stomach, Endo"
Financial Advisor,"Bypass L Vas Deferens to R Epidid w Synth Sub, Perc Endo"
Structural Engineer,"Excision of L Hand Subcu/Fascia, Open Approach"
Developer IV,"Drainage of Right Ovary with Drain Dev, Perc Endo Approach"
Occupational Therapist,Fluoroscopy of Intracranial Sinuses using H Osm Contrast
Sales Associate,"Revise of Infusion Dev in L Finger Phalanx Jt, Open Approach"
Dental Hygienist,"Inspection of Left Lower Leg, Perc Endo Approach"
Administrative Officer,"Drain of L Hand Bursa/Lig with Drain Dev, Perc Endo Approach"
Marketing Manager,"Supplement L Com Iliac Vein w Autol Sub, Perc Endo"
Sales Representative,"Supplement Left Parietal Bone with Synth Sub, Perc Approach"
Account Executive,"Reposition Right Tarsal, Percutaneous Approach"
Accounting Assistant IV,"Dilate R Popl Art, Bifurc, w Intralum Dev, Perc Endo"
Media Manager IV,"Measurement of Respiratory Volume, Via Opening"
Geological Engineer,"Drainage of Right Nipple with Drain Dev, Extern Approach"
Account Representative III,"Insert VAD Reservoir in Chest Subcu/Fascia, Open"
Administrative Officer,"Bypass L Ext Iliac Art to B Femor A w Autol Art, Perc Endo"
VP Accounting,"Revision of Infusion Device in Kidney, Perc Endo Approach"
Assistant Manager,"Reattachment of Left Lower Leg Muscle, Open Approach"
Software Engineer III,"Restrict R Axilla Art w Intralum Dev, Perc Endo"
Administrative Officer,"Supplement R Knee Bursa/Lig with Nonaut Sub, Open Approach"
Cost Accountant,"Revision of Infusion Device in Pancreat Duct, Perc Approach"
Legal Assistant,"Reposition Bladder Neck, Open Approach"
Computer Systems Analyst III,"Bypass Thor Aorta Asc to Carotid w Autol Vn, Perc Endo"
Biostatistician IV,"Drainage of Right Hand Tendon, Perc Endo Approach, Diagn"
Product Engineer,"Extirpate of Matter from L Ext Auditory Canal, Perc Approach"
Senior Financial Analyst,"Supplement Left Humeral Shaft with Nonaut Sub, Perc Approach"
Graphic Designer,"Excision of Lumbosacral Plexus, Perc Endo Approach"
GIS Technical Architect,"Repair Tongue, External Approach"
Analyst Programmer,Beam Radiation of Face Skin using Electrons
Budget/Accounting Analyst IV,"Drainage of Upper Vein, Open Approach"
Staff Scientist,"Drainage of Right Zygomatic Bone, Perc Endo Approach"
Mechanical Systems Engineer,"Introduction of Anti-inflam into Periph Art, Open Approach"
Software Engineer IV,"Insertion of Infusion Device into Celiac Art, Perc Approach"
Executive Secretary,"Insert Tissue Expander in R Low Leg Subcu/Fascia, Open"
Senior Quality Engineer,"Dilation of Right Face Vein with Intralum Dev, Open Approach"
Project Manager,"Insert of Infusion Dev into R Great Saphenous, Open Approach"
Social Worker,"Transfuse Autol Frozen Plasma in Central Art, Open"
Junior Executive,"Destruction of Right Occipital Bone, Open Approach"
Human Resources Manager,"Transfer Optic Nerve to Optic Nerve, Perc Endo Approach"
Systems Administrator II,"Drainage of Right Eye, External Approach"
Database Administrator IV,"Transfer R Low Arm Subcu/Fascia w Skin, Subcu, Perc"
Senior Financial Analyst,"Revise of Autol Sub in Cervcal Vertebra, Perc Endo Approach"
Marketing Assistant,"Insert of Infusion Dev into Scrotum & Tunica, Perc Approach"
Media Manager I,"Drainage of Left Nipple with Drainage Device, Open Approach"
Compensation Analyst,"Bypass R Com Iliac Art to Mesent Art w Autol Vn, Perc Endo"
Recruiting Manager,"Transfer R Foot Subcu/Fascia w Skin, Subcu, Fascia, Perc"
Office Assistant III,"Dilation of Esophagogastric Junction, Open Approach"
Editor,"Destruction of Right Toe Phalanx, Percutaneous Approach"
Computer Systems Analyst IV,"Extirpate matter from R Int Iliac Art, Bifurc, Perc"
Tax Accountant,"Repair Left Humeral Shaft, Percutaneous Approach"
Assistant Professor,"Occlusion of Inf Mesent Art with Extralum Dev, Open Approach"
Quality Engineer,"Release Upper Tooth, Multiple, Open Approach"
Senior Cost Accountant,"Dilation of Innom Art with 2 Intralum Dev, Open Approach"
Marketing Manager,"Supplement Left Upper Arm with Synth Sub, Perc Endo Approach"
Chemical Engineer,"Drainage of Bi Carotid Body, Perc Endo Approach, Diagn"
Nurse,"Drainage of Bi Fallopian Tube with Drain Dev, Open Approach"
Director of Sales,"Revision of Autol Sub in L Low Femur, Open Approach"
Mechanical Systems Engineer,"Bypass R Int Iliac Art to R Ext Ilia w Synth Sub, Perc Endo"
General Manager,"Resection of Right Lacrimal Duct, Percutaneous Approach"
Programmer Analyst I,"Lower Veins, Excision"
Electrical Engineer,"Dilation of Pancreatic Duct, Open Approach"
Senior Editor,"Fluoroscopy of L Pelvic Vein using H Osm Contrast, Guidance"
Nuclear Power Engineer,"Repair Right Upper Extremity Lymphatic, Perc Endo Approach"
Budget/Accounting Analyst IV,"Repair Pulmonary Trunk, Percutaneous Approach"
Dental Hygienist,"Bypass Descending Colon to Sigm Colon with Autol Sub, Endo"
Software Consultant,"Bypass Ascending Colon to Sigmoid Colon with Synth Sub, Endo"
Sales Representative,"Revision of Infusion Device in Spinal Canal, Extern Approach"
Legal Assistant,"Supplement Left Knee Joint with Nonaut Sub, Open Approach"
Senior Sales Associate,"Removal of Nonaut Sub from R Pelvic Bone, Open Approach"
Junior Executive,"Revision of Infusion Device in Gallbladder, Extern Approach"
Safety Technician IV,"Bypass Right Innominate Vein to Upper Vein, Open Approach"
Design Engineer,"Repair Hepatobiliary and Pancreas in POC with Oth Dev, Endo"
Analyst Programmer,"Bypass R Brach Art to Up Arm Vein w Autol Vn, Open"
Librarian,"Reposition Left Lower Femur with Int Fix, Open Approach"
Executive Secretary,"Transplantation of Urinary System into POC, Perc Approach"
Financial Advisor,"Dilate L Post Tib Art, Bifurc, w 3 Intralum Dev, Perc"
Human Resources Manager,"Revision of Drain Dev in Salivary Gland, Extern Approach"
Legal Assistant,"Revision of Infusion Device in Lumsac Jt, Perc Endo Approach"
Statistician III,"Drainage of L Low Extrem Lymph, Perc Endo Approach"
Environmental Tech,"Repair Lumbar Vertebra, External Approach"
Financial Analyst,"Reposition Right Common Iliac Artery, Open Approach"
Community Outreach Specialist,"Restrict Sup Mesent Vein w Intralum Dev, Perc Endo"
Compensation Analyst,"Resection of Left Hand Tendon, Open Approach"
Structural Engineer,"Inspection of Spleen, Percutaneous Endoscopic Approach"
Information Systems Manager,"Dilate L Com Carotid, Bifurc, w Intralum Dev, Perc Endo"
Director of Sales,"Removal of Synth Sub from L Shoulder Jt, Open Approach"
GIS Technical Architect,"Reposition Transverse Colon, External Approach"
Geological Engineer,"Dilate L Brach Art, Bifurc, w 4+ Intralum Dev, Perc Endo"
Software Engineer III,"Destruction of Left Hand Muscle, Open Approach"
Editor,"Repair Left Main Bronchus, Via Natural or Artificial Opening"
Chemical Engineer,"Inspection of Retained POC, Perc Approach"
Senior Developer,Sensory/Processing Assess Integu Up Back/UE w Oth Equip
Web Developer III,"Drainage of Epiglottis, Endo, Diagn"
VP Marketing,"Drainage of Optic Nerve with Drain Dev, Perc Endo Approach"
Desktop Support Technician,"Supplement L Int Iliac Art with Synth Sub, Perc Approach"
Executive Secretary,"Revision of Synth Sub in L Low Extrem, Perc Approach"
Sales Associate,"Extirpation of Matter from Lum Jt, Perc Endo Approach"
Quality Engineer,"Restriction of Left Kidney Pelvis, Via Opening"
Junior Executive,"Bypass L Int Iliac Art to R Femor A, Perc Endo Approach"
Food Chemist,"Insert Pace, Singl Cham Rt Respn in Abd Subcu/Fascia, Perc"
Marketing Manager,Stereotactic Particulate Radiosurgery of Pituitary Gland
Community Outreach Specialist,"Repair Sciatic Nerve, Percutaneous Endoscopic Approach"
Payment Adjustment Coordinator,"Drainage of Lower Gingiva, Open Approach"
Pharmacist,"Dilation of Ductus Arteriosus, Percutaneous Approach"
Junior Executive,"Revision of Neuro Lead in Cranial Nrv, Perc Approach"
Chemical Engineer,"Fusion of Left Carpal Joint with Ext Fix, Perc Approach"
Social Worker,"Bypass L Int Iliac Art to L Femor A w Autol Vn, Open"
Web Designer IV,"Irrigate Skin/Mucous Mem w Irrigat, Perc, Diagn"
Research Assistant III,"Revision of Monitor Dev in Trunk Subcu/Fascia, Open Approach"
Clinical Specialist,"Imaging, Endocrine System, Computerized Tomography (CT Scan)"
Payment Adjustment Coordinator,"Occlusion of Bi Sperm Cord with Intralum Dev, Perc Approach"
Chemical Engineer,"Reposition Left Tarsal, External Approach"
Safety Technician IV,"Bypass 2 Cor Art from Abd Art, Open Approach"
Clinical Specialist,"Control Bleeding in Right Wrist Region, Perc Endo Approach"
Clinical Specialist,"Destruction of Right Retina, Percutaneous Approach"
Graphic Designer,Monaural Hearing Aid Device Fitting using Audiometer
Nuclear Power Engineer,"Beam Radiation of Chest Skin using Electrons, Intraoperative"
Clinical Specialist,"Extirpation of Matter from Coccygeal Glomus, Open Approach"
Accounting Assistant IV,"Heart and Great Vessels, Division"
Pharmacist,"Destruction of Right External Ear, External Approach"
Help Desk Technician,"Extirpation of Matter from R Shoulder Muscle, Perc Approach"
Clinical Specialist,"Reposition L Humeral Head w Monopln Ext Fix, Perc Endo"
Help Desk Operator,"Alteration of L Ankle with Synth Sub, Perc Approach"
Desktop Support Technician,"Drainage of L Com Iliac Vein, Perc Endo Approach, Diagn"
Human Resources Manager,"Revision of Synth Sub in Pancreat Duct, Via Opening"
Pharmacist,"Repair Left Lesser Saphenous Vein, Perc Endo Approach"
Quality Control Specialist,"Fluoroscopy of R Subclav Vein using Oth Contrast, Guidance"
Environmental Tech,"Revision of Int Fix in L Glenoid Cav, Perc Approach"
Project Manager,"Excision of R Up Arm Subcu/Fascia, Open Approach, Diagn"
Design Engineer,Plain Radiography of Renal Art Transplant using Oth Contrast
Executive Secretary,"Revise Nonaut Sub in R Metatarsophal Jt, Perc Endo"
Account Representative II,"Occlusion of Esophagogastric Junction, Open Approach"
Librarian,"Excision of Right Femoral Artery, Perc Endo Approach"
Computer Systems Analyst I,"Reposition Right Axillary Artery, Open Approach"
Nuclear Power Engineer,"Drainage of Left Ulna, Percutaneous Approach"
Internal Auditor,"Excision of Bi Seminal Vesicle, Perc Endo Approach, Diagn"
Human Resources Manager,Visual Motor Integrat Assess w Augment Comm Equip
Human Resources Manager,"Dilation of R Femor Vein with Intralum Dev, Perc Approach"
Legal Assistant,"Dilate R Axilla Art, Bifurc, w 3 Drug-elut, Open"
Marketing Manager,"Drainage of Right Lung with Drainage Device, Via Opening"
Dental Hygienist,"Replace L Humeral Shaft w Autol Sub, Perc Endo"
Speech Pathologist,"Drainage of Left Popliteal Artery, Open Approach, Diagnostic"
Programmer IV,"Bypass Thor Aorta Asc to Carotid w Autol Vn, Perc Endo"
Systems Administrator I,"Dilation of L Hand Art with 4+ Intralum Dev, Perc Approach"
Editor,"Eye, Release"
Recruiting Manager,"Bypass R Ventricle to Pulm Trunk w Synth Sub, Perc Endo"
VP Accounting,"Restrict R Low Lobe Bronc w Extralum Dev, Perc Endo"
Computer Systems Analyst II,"Remove Autol Sub from L Metatarsophal Jt, Perc Endo"
Dental Hygienist,"Repair Respiratory System in POC, Perc Endo Approach"
Senior Quality Engineer,"Excision of Face Skin, External Approach"
Chief Design Engineer,"Division of Left Femoral Shaft, Percutaneous Approach"
Project Manager,"Repair Left Maxillary Sinus, Perc Endo Approach"
Research Associate,"Supplement Esophageal Vein w Nonaut Sub, Perc Endo"
Web Developer IV,"Dilate of L Post Tib Art with 4+ Intralum Dev, Open Approach"
Programmer Analyst III,"Resection of Upper Tooth, Multiple, Open Approach"
Automation Specialist II,"Revision of Synth Sub in R Humeral Shaft, Perc Endo Approach"
Health Coach IV,"Bypass Ileum to Cutaneous with Autol Sub, Open Approach"
Sales Associate,"Supplement Right Rib with Autol Sub, Perc Endo Approach"
Staff Scientist,"Dilation of Right Kidney Pelvis, Endo"
Technical Writer,"Insertion of Infusion Dev into Cor Vein, Perc Endo Approach"
Nuclear Power Engineer,"Excision of Right Carotid Body, Open Approach, Diagnostic"
Nurse,"Bypass R Hand Vein to Up Vein with Autol Art, Open Approach"
Dental Hygienist,"Drainage of Right Lower Lobe Bronchus, Via Opening"
Financial Advisor,"Revision of Synth Sub in Cranial Cav, Open Approach"
Account Coordinator,"Drainage of Right Ovary, Open Approach, Diagnostic"
Payment Adjustment Coordinator,"Insertion of Oth Dev into L Low Extrem, Perc Endo Approach"
Engineer II,"Bypass R Popl Art to Low Ex Vein w Nonaut Sub, Perc Endo"
Payment Adjustment Coordinator,"Dilate Splenic Art, Bifurc, w 2 Intralum Dev, Perc"
Engineer IV,"Revision of Extralum Dev in Great Vessel, Perc Approach"
Teacher,"Reattachment of Right Thyroid Gland Lobe, Perc Endo Approach"
Compensation Analyst,"Introduction of Other Gas into Eye, Via Opening"
Programmer IV,"Reposition R Toe Phalanx Jt with Ext Fix, Open Approach"
GIS Technical Architect,"Transfuse of Autol Factor IX into Periph Vein, Perc Approach"
Desktop Support Technician,"Replacement of Mesentery with Nonaut Sub, Open Approach"
Assistant Media Planner,Computerized Tomography (CT Scan) of Head using Oth Contrast
Research Nurse,"Occlusion L Renal Vein w Extralum Dev, Perc Endo"
Research Nurse,"Bypass R Com Iliac Vein to Low Vein w Synth Sub, Perc Endo"
Budget/Accounting Analyst III,"Transplantation of R Mid Lung Lobe, Allogen, Open Approach"
Pharmacist,Plain Radiography of Multiple Teeth
Database Administrator IV,"Ear, Nose, Sinus, Removal"
Web Designer III,"Bypass R Ext Iliac Art to R Int Ilia w Autol Vn, Open"
Senior Financial Analyst,"Remove Infusion Dev from R Temporomandib Jt, Open"
Account Executive,"Removal of Spacer from C-thor Jt, Perc Endo Approach"
Assistant Media Planner,"Repair Chest Wall, Percutaneous Approach"
Database Administrator IV,"Destruction of Left Face Vein, Open Approach"
Geological Engineer,"Insert Radioact Elem in Fem Perineum, Perc Endo"
Payment Adjustment Coordinator,"Revision of Autol Sub in Mediastinum, Open Approach"
Editor,"Introduction of Anti-inflammatory into Joints, Perc Approach"
Staff Accountant II,"Revision of Synth Sub in L Finger Phalanx Jt, Perc Approach"
Information Systems Manager,"Control Bleeding in Right Upper Arm, Open Approach"
Computer Systems Analyst I,"Extraction of Left Upper Leg Skin, External Approach"
Speech Pathologist,"Drainage of Prepuce, Percutaneous Endoscopic Approach"
Food Chemist,"Fusion of R Toe Phalanx Jt with Autol Sub, Perc Approach"
Community Outreach Specialist,Tomo Nucl Med Imag of Pelvic Region using Indium 111
Registered Nurse,Magnetic Resonance Imaging (MRI) of Bi Up Extrem Vein
Social Worker,Fluoroscopy of Thoracic Spine
Electrical Engineer,Plain Radiography of Bi Parotid Gland using H Osm Contrast
Staff Scientist,"Replace R Low Arm Skin w Autol Sub, Full Thick, Extern"
Legal Assistant,"Tendons, Division"
Media Manager II,"Excision of Left Knee Joint, Perc Endo Approach, Diagn"
VP Accounting,"Repair Left Index Finger, External Approach"
Librarian,"Dilation of Aortic Valve with Drug-elut Intra, Perc Approach"
Associate Professor,"Drainage of Mediastinum, Percutaneous Endoscopic Approach"
GIS Technical Architect,"Destruction of Right Metacarpocarpal Joint, Perc Approach"
Human Resources Assistant IV,"Drainage of L Int Jugular Vein, Perc Endo Approach, Diagn"
Senior Editor,"Release Right Shoulder Muscle, Open Approach"
Technical Writer,"Reposition Sigmoid Colon, Via Natural or Artificial Opening"
Civil Engineer,"Occlusion of L Sperm Cord with Intralum Dev, Perc Approach"
Automation Specialist III,"Revision of Nonaut Sub in Cerv Jt, Perc Approach"
Food Chemist,"Extirpation of Matter from R Fem Art, Bifurc, Perc Approach"
Budget/Accounting Analyst III,"Bypass L Com Iliac Art to R Int Ilia w Autol Vn, Perc Endo"
Nurse Practicioner,"Release Cecum, Via Natural or Artificial Opening Endoscopic"
Registered Nurse,Exercise Treatment of GU Sys using Aerobic Equipment
Staff Scientist,"Occlusion of R Popl Art with Extralum Dev, Perc Approach"
Internal Auditor,"Repair Left Parietal Bone, External Approach"
Engineer IV,"Insertion of Int Fix into L Hip Jt, Perc Endo Approach"
Nuclear Power Engineer,"Reposition Right Ulna with Ring Ext Fix, Open Approach"
Recruiting Manager,"Dilation of 4+ Cor Art with 2 Intralum Dev, Open Approach"
Web Developer II,"Removal of Nonaut Sub from L Tarsal, Perc Approach"
Director of Sales,"Extirpation of Matter from Lower Vein, Percutaneous Approach"
Business Systems Development Analyst,"Repair Right Ovary, Open Approach"
Actuary,Computerized Tomography (CT Scan) of Prostate
Senior Financial Analyst,"Revision of Synth Sub in Toe Nail, Extern Approach"
Help Desk Operator,"Drainage of Pancreatic Duct, Endo"
Director of Sales,"Revision of Drainage Device in C-thor Jt, Extern Approach"
Professor,"Resection of Perineum Tendon, Open Approach"
Social Worker,"Revision of Autol Sub in Low Bursa/Lig, Open Approach"
Web Developer I,"Removal of Drainage Device from Right Breast, Endo"
Budget/Accounting Analyst II,"Replace of L Thorax Tendon with Nonaut Sub, Open Approach"
Help Desk Technician,"Resection of Left Middle Ear, Open Approach"
Chemical Engineer,"Revision of Autol Sub in L Breast, Open Approach"
Programmer Analyst II,"Excision of Glossopharyngeal Nerve, Perc Approach, Diagn"
Senior Financial Analyst,"Bypass Cereb Vent to Pleural Cav w Autol Sub, Perc"
Research Assistant I,"Dilation of L Verteb Art with 3 Drug-elut, Perc Approach"
Technical Writer,"Revision of Intralum Dev in Cisterna Chyli, Open Approach"
Dental Hygienist,Ultrasonography of Left Upper Extremity Arteries
Developer II,"Supplement Right Foot Muscle with Synth Sub, Open Approach"
Director of Sales,"Planar Nucl Med Imag Musculo Sys, All w Oth Radionuclide"
Pharmacist,"Drainage of Sigmoid Colon, Open Approach"
Editor,"Supplement L Low Arm & Wrist Muscle w Synth Sub, Open"
Librarian,"Insert Radioact Elem in Up Extrem Subcu/Fascia, Perc"
Executive Secretary,Fluoroscopy of Left Finger(s)
Geological Engineer,Change Pressure Dressing on Left Lower Leg
Chemical Engineer,"Dilation of Right Cephalic Vein, Percutaneous Approach"
Senior Sales Associate,"Revision of Ext Fix in L Elbow Jt, Extern Approach"
Electrical Engineer,"Dilation of R Foot Art with 4+ Intralum Dev, Open Approach"
Structural Analysis Engineer,"Drainage of Left Kidney Pelvis, Via Opening"
Community Outreach Specialist,LDR Brachytherapy of Brain using Palladium 103
Mechanical Systems Engineer,"Revision of Nonaut Sub in R Tarsal, Perc Approach"
Desktop Support Technician,"Dilate R Post Tib Art, Bifurc, w 4 Drug-elut, Open"
Mechanical Systems Engineer,"Destruction of Right External Carotid Artery, Perc Approach"
Quality Control Specialist,"Reposition Right Knee Joint with Ext Fix, Perc Endo Approach"
Database Administrator II,"Occlusion of Right Kidney Pelvis, Percutaneous Approach"
Financial Analyst,"Measurement of Products of Conception, Cardiac Rhythm, Endo"
Junior Executive,"Revision of Int Fix in L Tarsal Jt, Extern Approach"
Software Consultant,"Supplement L Metacarpocarp Jt with Autol Sub, Perc Approach"
Account Coordinator,"Removal of Autol Sub from Kidney, Perc Approach"
Research Associate,"Supplement R Index Finger with Autol Sub, Perc Endo Approach"
Senior Sales Associate,"Dilation of Lingula Bronchus, Via Opening"
Director of Sales,"Detachment at Right 4th Toe, Low, Open Approach"
Database Administrator I,"Reattachment of Left Foot Muscle, Open Approach"
Recruiting Manager,"Excision of Pancreatic Duct, Open Approach, Diagnostic"
GIS Technical Architect,"Dilation of Hepatic Art with 3 Drug-elut, Perc Endo Approach"
Actuary,"Drain of L Kidney Pelvis with Drain Dev, Perc Endo Approach"
Legal Assistant,"Resection of Left Diaphragm, Perc Endo Approach"
Junior Executive,"Remove Infusion Dev from R Sacroiliac Jt, Perc Endo"
Research Nurse,"Excision of Basal Ganglia, Open Approach"
Operator,Removal of Splint on Left Upper Arm
Professor,"Supplement Head with Autol Sub, Perc Endo Approach"
Junior Executive,"Reposition R Metacarpocarp Jt with Ext Fix, Perc Approach"
Chemical Engineer,"Repair Right Mandible, External Approach"
Project Manager,"Release R Low Leg Subcu/Fascia, Open Approach"
Safety Technician I,"Transfer Vagus Nerve to Trigeminal Nerve, Perc Endo Approach"
Product Engineer,"Revision of Nonaut Sub in Mesentery, Perc Endo Approach"
